city,country
amsterdam,Netherlands
athens,Greece
barcelona,Spain
berlin,Germany
bratislava,Slovakia
brussels,Belgium
budapest,Hungary
copenhagen,Denmark
dublin,Ireland
edinburgh,Scotland
geneva,Switzerland
hamburg,Germany
helsinki,Finland
lisbon,Portugal
ljubljana,Slovenia
london,United Kingdom
luxembourg,Luxembourg
lyon,France
madrid,Spain
milan,Italy
munich,Germany
oslo,Norway
paris,France
prague,Czech Republic
rome,Italy
stockholm,Sweden
vienna,Austria
warsaw,Poland
riyadh,Saudi Arabia
jeddah,Saudi Arabia
madinah,Saudi Arabia
makkah,Saudi Arabia
dammam,Saudi Arabia
khobar,Saudi Arabia
taif,Saudi Arabia
jazan,Saudi Arabia
alula,Saudi Arabia
al khobar,Saudi Arabia
dhahran,Saudi Arabia
